area,canonical,alternate,default
act,STOC,STOC,TRUE
act,FOCS,FOCS,TRUE
act,SODA,SODA,TRUE
ai,AAAI,AAAI,TRUE
ai,AAAI,AAAI/IAAI,TRUE
ai,IJCAI,IJCAI,TRUE
arch,ISCA,ISCA,TRUE
arch,MICRO,MICRO,TRUE
arch,ASPLOS,ASPLOS,TRUE
bed,RTSS,RTSS,TRUE
bed,RTAS,RTAS,TRUE
bed,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,TRUE
bed,EMSOFT,EMSOFT,TRUE
bio,RECOMB,RECOMB,TRUE
bio,ISMB,ISMB,TRUE
bio,Bioinformatics,Bioinformatics,TRUE
bio,ISMB,ISMB/ECCB (Supplement of Bioinformatics),TRUE
bio,ISMB,Bioinformatics [ISMB/ECCB],TRUE
bio,ISMB,ISMB (Supplement of Bioinformatics),TRUE
chi,CHI,CHI,TRUE
chi,UbiComp,UbiComp,TRUE
chi,UbiComp,Ubicomp,TRUE
chi,Pervasive,Pervasive Computing,TRUE
chi,IMWUT,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",TRUE
chi,UIST,UIST,TRUE
comm,SIGCOMM,SIGCOMM,TRUE
comm,INFOCOM,INFOCOM,TRUE
comm,NSDI,NSDI,TRUE
crypt,CRYPTO,CRYPTO,TRUE
crypt,CRYPTO,CRYPTO (1),TRUE
crypt,CRYPTO,CRYPTO (2),TRUE
crypt,CRYPTO,CRYPTO (3),TRUE
crypt,EUROCRYPT,EUROCRYPT,TRUE
crypt,EUROCRYPT,EUROCRYPT (1),TRUE
crypt,EUROCRYPT,EUROCRYPT (2),TRUE
crypt,EUROCRYPT,EUROCRYPT (3),TRUE
da,ICCAD,ICCAD,TRUE
da,DAC,DAC,TRUE
graph,ACM Trans. Graph.,ACM Trans. Graph.,TRUE
graph,SIGGRAPH,SIGGRAPH,TRUE
hpc,SC,SC,TRUE
hpc,HPDC,HPDC,TRUE
hpc,ICS,ICS,TRUE
ir,WWW,WWW,TRUE
ir,SIGIR,SIGIR,TRUE
log,CAV,CAV,TRUE
log,CAV,CAV (1),TRUE
log,CAV,CAV (2),TRUE
log,LICS,LICS,TRUE
log,LICS,CSL-LICS,TRUE
metrics,SIGMETRICS,SIGMETRICS,TRUE
metrics,SIGMETRICS,SIGMETRICS/Performance,TRUE
metrics,IMC,IMC,TRUE
metrics,IMC,Internet Measurement Conference,TRUE
mlmining,NIPS,NIPS,TRUE
mlmining,ICML,ICML,TRUE
mlmining,ICML,ICML (1),TRUE
mlmining,ICML,ICML (2),TRUE
mlmining,ICML,ICML (3),TRUE
mlmining,KDD,KDD,TRUE
mobile,MobiSys,MobiSys,TRUE
mobile,MobiCom,MobiCom,TRUE
mobile,MobiCom,MOBICOM,TRUE
mobile,SenSys,SenSys,TRUE
mod,VLDB,VLDB,TRUE
mod,VLDB,PVLDB,TRUE
mod,SIGMOD Conference,SIGMOD Conference,TRUE
nlp,EMNLP,EMNLP,TRUE
nlp,ACL,ACL,TRUE
nlp,ACL,ACL (1),TRUE
nlp,ACL,ACL (2),TRUE
nlp,NAACL,NAACL,TRUE
nlp,NAACL,HLT-NAACL,TRUE
nlp,ACL,ACL/IJCNLP,TRUE
nlp,ACL,COLING-ACL,TRUE
nlp,EMNLP,EMNLP-CoNLL,TRUE
nlp,EMNLP,HLT/EMNLP,TRUE
ops,SOSP,SOSP,TRUE
ops,OSDI,OSDI,TRUE
ops,EuroSys,EuroSys,TRUE
ops,USENIX Annual Technical Conference,USENIX Annual Technical Conference,TRUE
ops,USENIX Annual Technical Conference,"USENIX Annual Technical Conference, General Track",TRUE
plan,POPL,POPL,TRUE
plan,PLDI,PLDI,TRUE
robotics,ICRA,ICRA,TRUE
robotics,ICRA,ICRA (1),TRUE
robotics,ICRA,ICRA (2),TRUE
robotics,IROS,IROS,TRUE
robotics,Robotics: Science and Systems,Robotics: Science and Systems,TRUE
sec,IEEE Symposium on Security and Privacy,IEEE Symposium on Security and Privacy,TRUE
sec,ACM Conference on Computer and Communications Security,ACM Conference on Computer and Communications Security,TRUE
sec,USENIX Security,USENIX Security Symposium,TRUE
sec,USENIX Security,USENIX Security,TRUE
soft,ICSE,ICSE,TRUE
soft,ICSE,ICSE (1),TRUE
soft,ICSE,ICSE (2),TRUE
soft,SIGSOFT FSE,SIGSOFT FSE,TRUE
soft,SIGSOFT FSE,ESEC/SIGSOFT FSE,TRUE
vis,IEEE Visualization,IEEE Visualization,TRUE
vis,VR,VR,TRUE
vis,IEEE Trans. Vis. Comput. Graph.,IEEE Trans. Vis. Comput. Graph.,TRUE
vision,CVPR,CVPR,TRUE
vision,CVPR,CVPR (1),TRUE
vision,CVPR,CVPR (2),TRUE
vision,ICCV,ICCV,TRUE
vision,ECCV,ECCV (1),TRUE
vision,ECCV,ECCV (2),TRUE
vision,ECCV,ECCV (3),TRUE
vision,ECCV,ECCV (4),TRUE
vision,ECCV,ECCV (5),TRUE
vision,ECCV,ECCV (6),TRUE
vision,ECCV,ECCV (7),TRUE
sec,ACM Transactions on Information and System Security,TOPS,
sec,ACM Transactions on Internet Technology,TIOT,
sec,International Cryptology Conference,CRYPTO,
sec,Theory of Cryptography,TCC,
sec,Computers & Security,COMPSEC,
sec,Workshop on Cryptographic Hardware and Embedded Systems,CHES,
sec,ACM Workshop on Automated Decision Making for Active Cyber Defense,SafeConfig,
sec,USENIX Symposium on Usable Privacy and Security,SOUPS,
chi,International Symposium on Human Aspects of Information Security & Assurance,HAISA,
sec,Financial Cryptography and Data Security,FC,
sec,Real World Crypto,RWC,
